window,signal_type,signal_date,signals,stocks,stop_rate_pct,avg_ret_20d_pct
BULL_2017,V0.1,2017-10-04,2,2,50.0,2.117756679839944
BULL_2017,V0.1,2017-10-05,1,1,0.0,0.045400003011852874
BULL_2017,V0.1,2017-10-11,1,1,100.0,0.7501392462152978
BULL_2017,V0.1,2017-11-02,2,2,50.0,6.186618966409463
BULL_2017,V0.1,2017-11-03,2,2,0.0,1.2766085922846115
BULL_2017,V0.1,2017-11-06,2,2,100.0,1.3402953252556749
BULL_2017,V0.1,2017-11-17,2,2,0.0,4.793664116643582
BULL_2017,V0.1,2017-11-20,2,2,0.0,7.380744380773163
BULL_2017,V0.1,2017-11-22,1,1,0.0,3.1065551752269993
BULL_2017,V0.1,2017-11-27,1,1,0.0,1.6413894891363023
BULL_2017,V0.1,2017-11-28,1,1,0.0,6.128339179864728
BULL_2017,V0.1,2017-12-12,1,1,0.0,6.199707690739986
BULL_2017,V0.1,2017-12-13,1,1,100.0,-6.486405407691809
BULL_2017,V0.1,2017-12-15,1,1,100.0,4.73312108594115
BULL_2017,V0.1,2017-12-19,2,2,0.0,3.9481830391033257
BULL_2017,V0.1,2017-12-20,1,1,0.0,4.4539313887759
BULL_2017,V0.1,2017-12-27,1,1,100.0,1.7613520380119763
BULL_2017,V0.1,2017-12-28,3,3,0.0,4.727814479824333
BULL_2017,V0.2B_NO_MACD,2017-01-03,1,1,0.0,1.5532987001778853
BULL_2017,V0.2B_NO_MACD,2017-01-04,3,3,100.0,-3.8080164094820588
BULL_2017,V0.2B_NO_MACD,2017-01-05,4,4,50.0,-3.2905152684547025
BULL_2017,V0.2B_NO_MACD,2017-01-06,1,1,100.0,-3.811541479044822
BULL_2017,V0.2B_NO_MACD,2017-01-12,1,1,0.0,-0.6597909407178637
BULL_2017,V0.2B_NO_MACD,2017-01-13,1,1,100.0,-2.4080850985524926
BULL_2017,V0.2B_NO_MACD,2017-01-17,1,1,0.0,-0.603542217702624
BULL_2017,V0.2B_NO_MACD,2017-01-24,1,1,0.0,2.315378405604762
BULL_2017,V0.2B_NO_MACD,2017-01-27,1,1,100.0,-3.929280638359256
BULL_2017,V0.2B_NO_MACD,2017-02-02,1,1,0.0,2.37828342183084
BULL_2017,V0.2B_NO_MACD,2017-02-03,4,4,25.0,2.940431296127638
BULL_2017,V0.2B_NO_MACD,2017-02-06,1,1,0.0,4.275721520006637
BULL_2017,V0.2B_NO_MACD,2017-02-07,3,3,0.0,4.77220331649962
BULL_2017,V0.2B_NO_MACD,2017-02-08,2,2,50.0,-4.247557092661547
BULL_2017,V0.2B_NO_MACD,2017-02-13,1,1,100.0,-1.7165256134024198
BULL_2017,V0.2B_NO_MACD,2017-02-16,1,1,0.0,3.0361640754798636
BULL_2017,V0.2B_NO_MACD,2017-03-13,3,3,33.33333333333333,1.9394140185582274
BULL_2017,V0.2B_NO_MACD,2017-03-15,2,2,100.0,-11.62823533832994
BULL_2017,V0.2B_NO_MACD,2017-03-16,1,1,0.0,0.9579347072650624
BULL_2017,V0.2B_NO_MACD,2017-03-17,1,1,100.0,-2.3470679681067086
BULL_2017,V0.2B_NO_MACD,2017-03-23,1,1,0.0,3.4136618563723964
BULL_2017,V0.2B_NO_MACD,2017-03-24,1,1,0.0,4.248617307099556
BULL_2017,V0.2B_NO_MACD,2017-03-28,4,4,75.0,-1.329331642848061
BULL_2017,V0.2B_NO_MACD,2017-03-29,2,2,50.0,1.4853086693428663
BULL_2017,V0.2B_NO_MACD,2017-03-30,1,1,100.0,-4.951434125235021
BULL_2017,V0.2B_NO_MACD,2017-04-05,1,1,0.0,-0.35814663183990625
BULL_2017,V0.2B_NO_MACD,2017-04-06,1,1,0.0,6.271800147938689
BULL_2017,V0.2B_NO_MACD,2017-04-07,2,2,100.0,-1.4723409989178315
BULL_2017,V0.2B_NO_MACD,2017-04-11,4,4,100.0,-0.9083568000040704
BULL_2017,V0.2B_NO_MACD,2017-04-12,2,2,50.0,3.034415231000631
BULL_2017,V0.2B_NO_MACD,2017-04-18,1,1,100.0,-7.704133544861069
BULL_2017,V0.2B_NO_MACD,2017-04-20,3,3,66.66666666666666,-2.235102339514372
